participant_id,  You are a  ,Education (Currently doing / Completed),Age,What is your field of study or profession ?,Do you have any programming experience?,Do you have any experience with testing any system or application? ,Have you ever been in a self-driving car?,"Do you drive motorbikes, cars etc? ",What kind of vehicle do you drive ?,How many years of driving experience do you have?,How would you rate your driving skills?,How ethically appropriate was the car’s decision in Scenario 1?,Please explain why you judged Scenario 1 as you did.,How ethically appropriate was the car’s decision in Scenario 2?,Please explain why you judged Scenario 2 as you did.,How ethically appropriate was the car’s decision in Scenario 3?,Please explain why you judged Scenario 3 as you did.,How ethically appropriate was the car’s decision in Scenario 4?,Please explain why you judged Scenario 4 as you did.,Did participating in this experiment change the way you think about the ethical behavior of self-driving cars?,Please write in a few words on your experience and suggestions.,"Considering the scenarios you have been exposed to, do you think that a self-driving car’s safe behavior always aligns with its ethical behavior?",Please explain why you answered as you did. Provide also feedback on the survey if relevant for you.
P33,PhD student,Masters,41-45,Computer Science,>5 years,>5 years,No,Yes,4 wheelers (light-duty vehicles like cars and vans),>5 years,Intermediate,Neutral,With the pedestrian standing that wide back from the crosswalk a full stop seams inappropriate to me. Slowing down with the possibility to stop completely if the pedestrian begins to move forward would also do.,Unethical,The car should stop and wait until the pedestrian has fully crossed the street - or at least the lane on which the car is driving.,Unethical,Although the pedestrian is not intending to cross the road (standing with its back to the road) the driving speed with which the car passes the second crosswalk seems inappropriate to me (too fast).,Unethical,When seeing a pedestrian wanting to cross the crosswalk the car should fully stop and wait until the pedestrian has passed the road or at least the car's lane.,No – my perception did not change,I think it's very important to incorporate ethical behaviour into self-driving vehicules.,No – A car can be safe but still act unethically (or vice versa),"I think, the behaviour should be as realistic as possible. In this sense performing a full stop (as in video 1) when it would be clear for a human driver that the pedestrian doesn't intend to cross the street is neither appropriate. There might be a risk that excessive caution might lead to a compensation behaviour at a later stage of the drive - causing a more severe security risk."
P34,Professional,Bachelors,31-35,music and events,Less than one year,Less than one year,No,Yes,4 wheelers (light-duty vehicles like cars and vans),2-5 years,Intermediate,Ethical,there is a stop sign,Unethical,it could scare or harm the pedestrian,Neutral,"with a driver, it would be the same",Unethical,it could harm the pedestrian,No – my perception did not change,I think that traditional drivers are dangerous even with ethical knowledge. SDC can be ethically programmed,No – A car can be safe but still act unethically (or vice versa),"Technology needs time to be emproved, some errors may occur, but time and research should upgrade the behaviour of the machines"
P35,Professional,Bachelors,56<,Commercial,Less than one year,Less than one year,No,Yes,2 wheelers (Motorbikes);4 wheelers (light-duty vehicles like cars and vans),>5 years,Expert,Ethical,Pedestrian did not show the intentino to cross the road,Unethical,The pedestrian might be scared by the movement of the sdc,Ethical,The pedstrian Is faced to the opposite side of the xwalk,Unethical,The sdc should have stopped.,No – my perception did not change,Nothing to say,Yes – Safe behavior and ethical behavior always go hand in hand,I believe the are the same.
P36,Professional,Postdoc,26-30,Computer Science,2-5 years,None,No,Yes,2 wheelers (Motorbikes);4 wheelers (light-duty vehicles like cars and vans),>5 years,Expert,Ethical,"If I were the driver, I would consider the pedestrian's intention to be not to cross",Unethical,This is intimidating ,Ethical,The pedestrian is even looking at another direction. Doesn't want to cross.,Unethical,Very dangerous behavior ,No – my perception did not change,I did not understand the point of these videos. It should work like in the first video always.,No – A car can be safe but still act unethically (or vice versa),"I mean, if you do not hit the pedestrian you can scare him drastically. "
P37,Professional,Postdoc,26-30,Computer Science,>5 years,>5 years,No,Yes,4 wheelers (light-duty vehicles like cars and vans),>5 years,Expert,Ethical,"The car stopped to assess whether the pedestrian had started to cross the road, but having remained stationary, the car moved on.",Unethical,The SDC should be stationary until the pedestrian has completely crossed the road.,Neutral,"The pedestrian stands next to a crosswalk but does not intend to cross the road, however the SDC should pay attention and at least slow down",Unethical,The SDC must stop,Yes – the scenarios made me elaborating a different perception,The simulator helps to better perceive the situations described and helps to give a more accurate opinion,No – A car can be safe but still act unethically (or vice versa),"Suppose a car avoids a collision by braking hard, but does so in a way that consistently prioritizes the lives of its passengers over pedestrians. This could be safe for the passengers but ethically questionable in a broader sense."
P38,Postdoctoral researcher ,Postdoc,26-30,Computer Science,>5 years,2-5 years,No,Yes,4 wheelers (light-duty vehicles like cars and vans),>5 years,Intermediate,Ethical,The SDC adopted a behavior to ensure pedestrian safety,Neutral,The SDC adopted a behavior that does not harm the pedestrian but may affect perceived safety,Neutral,"The SDC adopted the same behavior a human driver would have, since the pedestrian was not about to cross the road",Unethical,"The SDC stopped before the crosswalk for a few seconds, giving the pedestrian the false impression that it was safe to cross, and then started moving again",No – my perception did not change,"The development of SDCs must consider not only pedestrian perception but also the adoption of safe procedures to ensure that no vehicles, objects, or passengers are harmed during operation",No – A car can be safe but still act unethically (or vice versa),"I believe that, despite adopting safe behavior, which is necessary, some ethical aspects may still be violated or only partially fulfilled"
P39,Both Student and Professional,PhD,26-30,Computer Science,>5 years,>5 years,Yes,Yes,4 wheelers (light-duty vehicles like cars and vans);Bicycles,>5 years,Intermediate,Ethical,"Pedestrian did not pay attention to the given yield, maybe because s/he didnt want to cross the road. So it's very ethical to re-continue driving.",Unethical,"Despite the pedestrian's poor walking skills, the car should not approach closer while the pedestrian is still on the crosswalk (walking). This is cleary unethical.",Neutral,"As I driver, I would have approached the second crosswalk more carefully (maybe the pedestrian suddenly turns around and wants to cross it, despite looking in the wrong direction).",Unethical,"Pedestrians have yield, regardless of their walking skill level. This pedestrian has clearly started its crosswalk-crossing-attempt, which should hold all cars in wait.",No – my perception did not change,"Maybe your experiments could be further enhanced by adding sound to the episodes. Therewith one could analyze more nuanced situation with, e.g., excessive engine revving and tire squealing.",No – A car can be safe but still act unethically (or vice versa),E.g. blocking road due to a pedestrian that does actually not want to cross the street.
P40,Professional,PhD,31-35,Computer Science,>5 years,2-5 years,No,Yes,4 wheelers (light-duty vehicles like cars and vans),>5 years,Expert,Ethical,The car gave the pedestrian sufficient time to indicate whether they intended to cross.,Unethical,"The move forward is threatening to the pedestrian, even if they are not hit. I think it's ok to move before the pedestrian has completed the cross as long as they have cleared sufficient distance.",Unethical,"The vehicle should probably stop for a second time before crossing the second crosswalk. The pedestrian is facing the other way, but the vehicle's sensors might not capture that. Or the pedestrian could walk backwards.",Unethical,The vehicle should definitely not advance until the pedestrian has at least crossed the vehicle itself.,No – my perception did not change,"In my opinion these are not really ethical questions, these scenarios should generally be covered by traffic regulations and would apply the same for a human-driven or self-driving vehicle. Self-driving vehicles should be able to follow regulations perfectly.",No – A car can be safe but still act unethically (or vice versa),"In the example where the car waits for pedestrian to cross halfway and advances — this is most likely safe, but could be seen as unethical because the car is not fully respecting the passenger's precedence. Related to my previous comment, traffic regulations might state that the vehicle must wait for the pedestrian to cross completely, but most human drivers will advance once it is safe to do so, which is likely sensible when a road is very wide, for example."
P41,Student,PhD,26-30,Computer Science,2-5 years,1-2 years,Yes,Yes,2 wheelers (Motorbikes);4 wheelers (light-duty vehicles like cars and vans),>5 years,Expert,Ethical,"Based on what happened with me few days ago,  i was standing near to a zebra crossing the driver thought i want to cross the road so he stop but then immediately i told him i don't intend to cross so he continued his driving. ",Unethical,Officially by law the car have to stop at zebra crossing for a pedestrian or if there is a stop sign and should wait for pedestrian cross the road but on the other hand a pedestrian should also do it immediately. ,Neutral,"There are two zebra crossings, According to this scenario the pedestrian is on the other zebra crossing while the driver is driving on another road so it's neutral. ",Unethical,Here the act of driver is against the ethics and law. ,No – my perception did not change,"The scenarios are made by keeping daily life examples in mind, that's great. ",No – A car can be safe but still act unethically (or vice versa),Because of some past accidents happened because of self driving cars. https://en.m.wikipedia.org/wiki/List_of_Tesla_Autopilot_crashes
P42,Student,PhD,26-30,Social Science,Less than one year,None,No,Yes,4 wheelers (light-duty vehicles like cars and vans),>5 years,Expert,Neutral,the car respected the road signal. Should have waited more to let pedestrian move and understand if he wanted to cross the road or just turn left (he is apparently young and healty but if it was an old man and every car behave in the same way he would possibly be still there),Unethical,the car should have waited the pedestrian to cross the entire walk before to move again,Unethical,"it respected the stop. Then, it didnt slow down in front of a cross walk with a pedestrian, even if turned in the opposite direction. Possible dungerous situation. To avoid",Unethical,possible harm ,No – my perception did not change,"Which values are intended to be measured/assessed? In those very simple scenarios, it was more about just respecting pedestrian safety. It would be interesting to test if there is a difference in our perception of those behaviour enacted by a human agent vs self driving car. I understand the will of not entering into trolley problems. Still, I think a comparative setting could provide more insights into our perception of self-driving cars. Moreover, it would enrich the analysis to assess the attitudes of people towards driving in general (low risk takers, high risk takers) based on the hypotesis that if i am a high risk taker i'll probably judge differently certain scenarios compared to a low risk taker. This could enrich the assessment of perception's drivers (now limited to experience of driving, education, technical background, age...). Regarding the questions, it could be useful also to propose some typical polarized items with clear and well stated trade-offs (e.g. expression of agreement in a scale 0-3 to two possibilities: A) the car perfectly respected rule's code and pedestrian safety vs B) the car didnt' fully respect the code and pose threath to the pedestrian). Those could be useful both in assessing attitudes towards driving in general and towards the self-driving car scenario.",No – A car can be safe but still act unethically (or vice versa),ethics is much more broad than safety. more detailed feedback on the survey in previous items
P43,Professional,Postdoc,31-35,mechanical engineering ,Less than one year,Less than one year,No,Yes,4 wheelers (light-duty vehicles like cars and vans),>5 years,Intermediate,Ethical,"The car followed driving rules by coming to a stop in front of a pedestrian crosswalk where a pedestrian appeared to be near crossing position. After stopping, the pedestrian showed no indication of an intention to cross, therefore, the car had the right to continue.",Unethical,"The SDC showed impatient and intimidating driving behavior by showing an intention to drive while a pedestrian was crossing. Regardless of the pedestrian's ability to cross the crosswalk, the SDC ought to wait until the crosswalk is clear.",Unethical,This scenario is somewhat ambiguous. I think the SDC should gave at least slowed down in front of the 2nd crosswalk. ,Unethical,The SDC should have waited until the pedestrian completed the crossing.,No – my perception did not change,"Some of the scenarios were quite obvious, and for some, I'm not sure even what I would do as a driver.",Yes – Safe behavior and ethical behavior always go hand in hand,"In the cases where I judged the SDC behavior to be unethical, I would also consider to be unsafe. "
P44,Student,PhD,26-30,Computer Science,2-5 years,2-5 years,Yes,Yes,4 wheelers (light-duty vehicles like cars and vans),>5 years,Expert,Ethical,"If a pedestrian doesn't intend to cross, even if he is standing there, the vehicle does not need to waste time stopping when the pedestrian is not actually crossing. ",Unethical,"The vehicle has to wait for the pedestrian. Even if the pedestrian doesn't seem to be in a hurry and moves slowly (he has every right to do), the vehicle must wait until the he completely crosses the zebra crossing. In some cases, the pedestrian might be sick or intoxicated, which could increase the risk of an accident if the vehicle doesn't wait.",Neutral,"Actually, as long as the driver is aware of the pedestrian and keeps an eye on him while driving, the situation is accaptable. However, there might be cases where the pedestrian suddenly turns back and steps onto the road, requiring the vehicle to break. Therefore, the driver must always take into account the stopping distance in case such a scenario occurs. ",Unethical,"I guess the driver was not sure about the pedestrian's speed initally, so he stopped the car. After stopping, he probably assumed he could pass without hitting the pedestrian. This is an obvious traffic rule violation. In such cases, an accident is almost inevitable. ",Yes – the scenarios made me elaborating a different perception,Such scenarios are actually things human drivers could also do,Unsure,"I think ""safe"" and ""ethical"" may not necessarily be directly parallel. If by ""safe"" we mean prioritizing first the safety of the driver inside the vehicle, then the vehicle itself, and then pedestrians and other vehicles, this doesn’t actually make the other vehicles sharing the road with a self-driving car ""safe"". I also believe that being ""safe"" is not only about avoiding accidents altogether. Similarly, a situation can be safe but not ethical, or ethical but not safe. The definition of ethics, I think (though I’m not entirely sure), also varies from one person to another. All people agree on the desire to avoid accidents, but when an accident becomes unavoidable, the question of who bears the cost of the harm becomes controversial.

For a driver rushing an emergency patient (or an injured person) to the hospital, some people might consider it ethical not to wait for a pedestrian who is moving slowly and sluggishly across the crosswalk. Even though this situation may not be ""safe"" for the pedestrian, it could be considered ""safe"" for the injured person inside the vehicle.
This example can be considered as an extreme one, but it is still something that could realistically occur in real life. 

Thank you for the interesting and thought-provoking survey. Ethics is an important issue in self-driving vehicles, often overlooked but directly affecting society’s perception of them."
P45,Student,PhD,31-35,Computer Science,>5 years,Less than one year,No,Yes,4 wheelers (light-duty vehicles like cars and vans),>5 years,Expert,Ethical,"Given that the pedestrian is moderately close to the crosswalk, an expected behavior is to stop, because the pedestrian might want to cross the road. However, the pedestrian did not move, then it is safe to assume they do not want to cross and therefore the car can proceed. Since the SDC followed the behavior I consider adequate, I judge it acted in an ethical way.",Unethical,"In a situation with a human driver, the presented behavior would be rude, but probably not dangerous. However, I expect an SDC to be much more careful in such situations. As such, I evaluate that an SDC should remain stopped until the pedestrian finishes the crossing or at least be a few meters away from the car.",Unethical,"I am assuming that when the SDC stops at the first crosswalk, its field of view does not include the pedestrian, otherwise I would judge it as an ""Ethical"" behavior.
I expect an SDC to be very careful when noticing a pedestrian close to a crosswalk. Even if the pedestrian does not seem to intend to cross, the SDC should stop or at least slow down a bit, which does not happen.",Unethical,"After the pedestrian has started to cross the road, the SDC should wait stopped until the pedestrian finishes crossing.",No – my perception did not change,It would be interesting to evaluate if the results change when asking some participants to consider the driver to be a human.,No – A car can be safe but still act unethically (or vice versa),"On one side, safety is just one part of expected ethical behavior, which also includes considering factors such as responsibility and trustworthiness. From the other side, there can be an ethical but unsafe action - for example, if an accident occurs on a road, the SDC might stop (an ethical action), but if a car is behind it, this could cause another accident (unsafe behavior)."
P46,Student,PhD,31-35,Computer Science,>5 years,Less than one year,No,Yes,4 wheelers (light-duty vehicles like cars and vans),>5 years,Expert,Ethical,"The car stopped to allow the pedestrian to cross the road after receiving no sign of intention; then it kept moving, so this aligns with ethics.",Unethical,The car must stop before the crosswalk and wait for the pedestrian. The pedestrian was forced to move and is afraid that this can cause stress and lead to dangerous consequences.,Ethical,"The pedestrian has no intention to move from any crosswalk. The car stopped and then continued on its way, which aligns with ethical standards.",Unethical,"When a pedestrian begins to move or intends to cross, cars must stop until the person reaches the other side of the crosswalk.",No – my perception did not change, I think it would be better if you provide more challenging scenarios.,No – A car can be safe but still act unethically (or vice versa),"The concept of safety can vary depending on the perspectives of drivers, manufacturers, and pedestrians. A car may be deemed safe in terms of protecting the driver, but it may not be considered ethically sound. For example, while a vehicle might effectively safeguard the driver’s life, it could still create challenges for pedestrians, highlighting ethical concerns similar to those discussed in this study."
P47,Professional,Postdoc,31-35,Computer Science,>5 years,>5 years,No,Yes,4 wheelers (light-duty vehicles like cars and vans),Less than one year,Beginner,Ethical,"There was ambiguity regarding pedestrian intentions. By stopping, SDC acknowledged the possibility of the pedestrian to start walking. ",Unethical,"This is a violation of driving regulations, the car should have only started moving when the predestirian had passed it completely.",Unethical,"What if the pedestrian would have started walking spontaneously? Such SDC behavior  would have been dangerous, even already it looks not human-centered",Unethical,The car is in violation of driving regulations to start with. Safety of pedestrian crossing is compromised.,No – my perception did not change,"It was weird to see only one car on the road, but as an isolated example it works. Got me thinking about scenarios with more cars and car accidents with pedestrians, when one car stops to let the pedestrian cross, a car in the lane next to it does not see the person and hits them. Anonymous results collection would have also been nice.",Unsure,"I would have liked both to be aligned, but safe might not be enough by itself to equate to ethical, it seems a more narrow concept."
P48,Researcher,Postdoc,26-30,Computer Science,>5 years,>5 years,Yes,Yes,2 wheelers (Motorbikes);4 wheelers (light-duty vehicles like cars and vans),>5 years,Expert,Neutral,"The car stopped at the ""stop"" line mark, the pedestrian is not willing to cross the road.",Unethical,"Even if the car did not hit the pedestrian, its behavior is neither safe nor respectful of traffic laws.",Neutral,"The pedestrian is clearly not willing to cross the road, so stopping is not required.",Unethical,"The SDC behaved in an unsafe way, threatening the pedestrian's security and failing to adhere to traffic laws.",No – my perception did not change,I do not have suggestions,Unsure,"The alignment between safe behavior and ethical behavior looks to be highly dependent on the situation and on the metrics used for determining if a behavior is safe or not. The examples shown in the questionnaire seem to indicate that they align, but this may not be stated in general. For example:
- In order to ensure safety, an SDF must avoid hitting obstacles (in this case, it can be considered ethical and safe)
- In situations where safety is already compromised (because avoiding collisions may be impossible in a given situation, like when something is moving towards the car and no evasive maneuvers can be done without hitting anything), ethical choices can be made (like in trolley problem-like situations)"
P49,Student,PhD,26-30,Computer Science,1-2 years,None,No,Yes,2 wheelers (Motorbikes),>5 years,Expert,Ethical,Because He stooped the car and waited.,Unethical,Car did not wait and it may lead to accident. ,Ethical,He waited for a while sensed the situation and go.,Unethical,May lead to accident.,Yes – the scenarios made me elaborating a different perception,It is important to follow ethical driving for human safety.,No – A car can be safe but still act unethically (or vice versa),If the self driving car is not trained properly it may cause error and error on road may lead to loss of life .
P50,Both Student and Professional,PhD,26-30,Law,None,None,No,Yes,4 wheelers (light-duty vehicles like cars and vans),1-2 years,Beginner,Neutral,It did not wait for sufficient time to decide. The person could have crossed the road. ,Unethical,The car kept moving beyond the crosswalk even if a person was still within the zone. ,Unethical,The car did not consider the other crosswalk. ,Unethical,"The car kept moving even if a person was in the zone, the crosswalk. ",Yes – the scenarios made me elaborating a different perception,Self-driving cars should be able to identify zones and persons within the zones. It should also be able to identify similar zones within a particular space. ,No – A car can be safe but still act unethically (or vice versa),They can be safe for a particular zone or area but the decisions may not be ethical when they are faced with human decisions beyond a particular data set. 
P51,Student,PhD,26-30,Computer Science,2-5 years,1-2 years,No,No,,,,Unethical,I guess the car should wait longer here because it might be that the pedestrian still needs time to decide to cross or not,Unethical,This will scare the pedestrian while crossing,Neutral,As it is clearly shown that the pedestrian does not want to cross or is not facing the cross road at least,Unethical,"Scary for pedestrian, also unsafe, it should wait until they cross all the way. ",Yes – the scenarios made me elaborating a different perception,"I would love to see more of these videos and questions, they explain a lot about ethical behavior of self-driving cars. ",Yes – Safe behavior and ethical behavior always go hand in hand,I believe safety and ethical behavior should go hand in hand. The survey is expressive and explains a lot. Thank you 
P52,Student,PhD,26-30,Computer Science,>5 years,1-2 years,No,Yes,2 wheelers (Motorbikes),>5 years,Expert,Ethical,Because the car waited for the pedestrian for some time to cross but he did not and also pedestrian is standing at proper margin everything is safe .,Unethical,SDC should wait until the pedestrian crossed the crosswalk properly and be at stop point this will be the safe scenerio .,Ethical,pedestrian is not facing the crosswalk so there is no sign which shows pedestrian wants to cross through the crosswalk . so its the right decision by SDC,Unethical,this is not safe scenerio as SDC keep moving which could be dangerous it should have wait for the pedestrian to cross the road first and then move,Yes – the scenarios made me elaborating a different perception,This is the correct survey to collect peoples opinion on different scenerios and then train the model with data . and learning ethical ways as future is going towards the autonomous systems ,Yes – Safe behavior and ethical behavior always go hand in hand,yes its important because otherwise it will be problematic for human and environments
P53,Both Student and Professional,PhD,26-30,law,None,None,No,Yes,4 wheelers (light-duty vehicles like cars and vans),Less than one year,Beginner,Neutral,"Considering that this is an SDC, the car should have stopped a bit longer to give the pedestrian enough time to decide whether to cross. The idea of a significant margin is itself variable, and it is difficult to determine whether it is a reliable indicator of a person’s intention to cross the road. In a normal situation, a human driver would often rely on subtle cues—such as eye contact or facial expressions—to judge the pedestrian’s intent. Here, since there is no driver in the car, it would be necessary, for the sake of safety, for the SDC to wait a bit longer before proceeding through the intersection.",Unethical,"I believe the SDC should not have moved forward while the pedestrian was still on the crosswalk. It should have waited until the pedestrian had completely crossed. Even if no harm occurred, moving forward in that situation comes across as inconsiderate. For both safety and courtesy, the SDC should have remained stopped until the pedestrian was fully across the road.",Ethical,"The description clearly indicated that the pedestrian did not intend to cross the road. Here, since a pedestrian lane was present, it was prudent for the SDC to stop—regardless of whether the person actually intended to cross or not. In this case, the car did stop and then proceeded afterward, which I think is acceptable.",Unethical,"I think the SDC should have waited until the person had fully crossed the road. Once a pedestrian has already started crossing, the most prudent action for the SDC is to remain stopped until that person has safely finished crossing.",Yes – the scenarios made me elaborating a different perception,"I think I would hold the SDC to a higher standard of safety than a human driver. In that sense, I may lean more toward the cautious side compared to what I would expect from a person driving the car.",No – A car can be safe but still act unethically (or vice versa),Because safety does not mean always ethical. 
P54,Student,PhD,31-35,Computer Science,2-5 years,None,No,Yes,2 wheelers (Motorbikes),Less than one year,Beginner,Ethical,"Firstly, SDC stopped at the zebra crossline for the pedestrian to walk, but person didn't move, niether person gave any signal to cross, so SDC moved on.",Neutral,It was a neutral behaviour of SDC because SDC might have an urgency/emergency situation to reach its destination on time.,Unethical,"SDC must give some signal or priority to the pedestrian, know his intentions first, then it should move or cross the line.",Unethical,"Absolutely unethical. SDC must stop and wait until pedestrian crosses the road completely. SDC was in hurry, this behavior can seriously be harmful.",No – my perception did not change,it was a good experience to judge these scenarios.,No – A car can be safe but still act unethically (or vice versa),Yes it was a relevant. 
P55,Student,PhD,26-30,Computer Science,2-5 years,None,No,Yes,2 wheelers (Motorbikes);4 wheelers (light-duty vehicles like cars and vans),2-5 years,Intermediate,Ethical,"As driver waited for 3 to second for the pedestrian so in my opinion its ethical
",Unethical,Because driver did not wait for the pedestrian to cross the road,Neutral,as driver wait on first crosswalk for 2 to 3 seconds are OK but he need to stop next crosswalk so he may wait also for 2 to 3 seconds on next crosswalk too.  ,Unethical,yes driver must wait for the pedestrian cross the road,Yes – the scenarios made me elaborating a different perception,"its all about the driver skillS, RULES AND REGULATION TOWARDS THE DRIVER",Yes – Safe behavior and ethical behavior always go hand in hand,YES IT IS RELEVANT
P56,Both Student and Professional,PhD,31-35,Computer Science,>5 years,1-2 years,No,Yes,2 wheelers (Motorbikes);4 wheelers (light-duty vehicles like cars and vans),>5 years,Expert,Ethical,"It seems that the pedestrian was not intended to cross the street and was still judging next step. So car first stopped to give priority to the pedestrian but upon realizing that the pedestrian is not moving, the car drove away.",Unethical,"Upon seeing that the pedestrian is crossing the streer, the car should has stopped completely and not try to move towards the zebra crossing and thus the pedestrian. This forced the pedestrian to move from his/her trajectory. ",Neutral,"The car stopped at the first zebra crossing and can see that the pedestrian is facing the opposite side of the zebra crossing. Speeding away is not a problem since the pedestrian don't intend to cross the street however, the car can also have stopped for a few second at the 2nd Zebra crossing to check if the pedestrian has changed the direction and is about to use the zebra crossing or not.",Unethical,"While the user is bit far away from the path of car, but the fact that user is already crossing the street and is on the zebra crossing, the car should have stopped completely before user has crossed the street and then should have driven.",Yes – the scenarios made me elaborating a different perception,"The ethics of driving dictates to give priority to the pedestrian. In two cases, scenarions were unethical but not dangerous but 2 of the scenarios were outright dangerous. The ethics is bit complicated to implement in the self-driving car sometimes. Maybe the passenger is under emergency so they have to break the rule or they dont?",No – A car can be safe but still act unethically (or vice versa),"As per my driving experience, I perceive 2 of the scenarios safe and 2 scenarios unsafe. However, even if they were safe, they were not ethically correct."
P57,Student,PhD,26-30,Computer Science,2-5 years,1-2 years,No,Yes,4 wheelers (light-duty vehicles like cars and vans),2-5 years,Intermediate,Ethical,"Because it follows the ethics as it stopped before the crosswalk because there was a pedestrian standing there and as it sees that the pedestrian do not move, in a specific time than it passed by",Unethical,this may leads to an accident as the pedestrian was still on the crosswalk the car must have to wait for the pedestrian to completely cross the road first,Neutral,it seems that the pedestrian is not interested in crossing the road as hes not facing the road.,Unethical,it was unethical as the pedestrian was trying to cross the road but the car didnt stop,Yes – the scenarios made me elaborating a different perception,it was a good simulation and guidance about ethics in this domain,Yes – Safe behavior and ethical behavior always go hand in hand,ethical behavior is important as the car is autonomous and its very important to take this under consideration
P58,Student,PhD,26-30,both Computer Science and Robotics,2-5 years,None,No,Yes,2 wheelers (Motorbikes);4 wheelers (light-duty vehicles like cars and vans),>5 years,Expert,Ethical,It was ethical because the car waited for a window of time to check if the pedestrian would cross the road or not. ,Unethical,"It is unethical, because the change in position, that action will probably put pressure on the pedestrian. ",Ethical,"It is ethical because the car recognises that the pedestrians are not crossing the road, so there is no reason to stop the car. ",Unethical,"It is unethical, because the cars are not waiting the until the end for the pedestrian to cross the road",Yes – the scenarios made me elaborating a different perception,It is better to create a scenario with more doubt.,No – A car can be safe but still act unethically (or vice versa),Can you refer to the second scenario to understand the usage where the cars are not investing the pedestrian safety but are putting pressure on pedestrians.
P59,Student,PhD,18-25,Computer Science,>5 years,>5 years,Yes,Yes,4 wheelers (light-duty vehicles like cars and vans),2-5 years,Intermediate,Ethical,The vehicle conformed to societal norms w.r.t. stopping for pedestrians.,Unethical,Does not conform to societal norms; this is an act which will be construed as threatening.,Ethical,Vehicle behaves consistently with societal norms.,Unethical,Behavior is unethical and probably illegal; the pedestrian has right of way until completely across the street.,No – my perception did not change,"While SDCs are capable of exhibiting ethical behavior, they are not capable of ethical responsibility. In the case of a fault (either by design or due to impossible circumstances), the SDC is not capable of taking responsibility/accountability for an incident and thus cannot *actually* behave ethically or unethically; it merely conforms to its design.",No – A car can be safe but still act unethically (or vice versa),"Being threatening towards other road users is ""safe"", but unethical."
P60,Professional,PhD,56<,Social Science,Less than one year,None,No,Yes,4 wheelers (light-duty vehicles like cars and vans),>5 years,Intermediate,Unethical,it should have checked whether the pedestrian wanted to cross the street,Unethical,because this can scare the pedestrian,Neutral,it depends on the attitude of the pedestrian,Unethical,dangerous! ,Yes – the scenarios made me elaborating a different perception,mostly about the difficulty of training the car,No – A car can be safe but still act unethically (or vice versa),because safety is not enough
